Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp
192.168.1.13-192.168.1.3-44260-777-6,192.168.1.13,44260,192.168.1.3,777,6,19/11/2024 11:23:53 PM
192.168.1.13-192.168.1.3-38762-1688-6,192.168.1.13,38762,192.168.1.3,1688,6,19/11/2024 11:23:54 PM
192.168.1.13-192.168.1.3-60094-4662-6,192.168.1.13,60094,192.168.1.3,4662,6,19/11/2024 11:23:54 PM
192.168.1.13-192.168.1.3-37962-57797-6,192.168.1.13,37962,192.168.1.3,57797,6,19/11/2024 11:23:53 PM
192.168.1.13-192.168.1.3-44786-10024-6,192.168.1.13,44786,192.168.1.3,10024,6,19/11/2024 11:23:54 PM
192.168.1.13-192.168.1.3-36518-17988-6,192.168.1.13,36518,192.168.1.3,17988,6,19/11/2024 11:23:53 PM
192.168.1.13-192.168.1.3-36072-8011-6,192.168.1.13,36072,192.168.1.3,8011,6,19/11/2024 11:23:55 PM
192.168.1.13-192.168.1.3-42696-90-6,192.168.1.13,42696,192.168.1.3,90,6,19/11/2024 11:23:53 PM
192.168.1.13-192.168.1.3-43098-7100-6,192.168.1.13,43098,192.168.1.3,7100,6,19/11/2024 11:23:52 PM
192.168.1.13-192.168.1.3-41510-8193-6,192.168.1.13,41510,192.168.1.3,8193,6,19/11/2024 11:23:53 PM
192.168.1.13-192.168.1.3-53962-143-6,192.168.1.13,53962,192.168.1.3,143,6,19/11/2024 11:23:52 PM
192.168.1.13-192.168.1.3-45710-10010-6,192.168.1.13,45710,192.168.1.3,10010,6,19/11/2024 11:23:54 PM
192.168.1.13-192.168.1.3-35530-720-6,192.168.1.13,35530,192.168.1.3,720,6,19/11/2024 11:23:54 PM
192.168.1.13-192.168.1.3-58584-60443-6,192.168.1.13,58584,192.168.1.3,60443,6,19/11/2024 11:23:53 PM
192.168.1.13-192.168.1.3-32842-4899-6,192.168.1.13,32842,192.168.1.3,4899,6,19/11/2024 11:23:54 PM
192.168.1.13-192.168.1.3-44536-34572-6,192.168.1.13,44536,192.168.1.3,34572,6,19/11/2024 11:23:55 PM
192.168.1.13-192.168.1.3-43906-24444-6,192.168.1.13,43906,192.168.1.3,24444,6,19/11/2024 11:23:54 PM
192.168.1.13-192.168.1.3-36682-1066-6,192.168.1.13,36682,192.168.1.3,1066,6,19/11/2024 11:23:54 PM
192.168.1.13-192.168.1.3-43772-49167-6,192.168.1.13,43772,192.168.1.3,49167,6,19/11/2024 11:23:54 PM
192.168.1.13-192.168.1.3-57678-544-6,192.168.1.13,57678,192.168.1.3,544,6,19/11/2024 11:23:52 PM
192.168.1.13-192.168.1.3-44972-987-6,192.168.1.13,44972,192.168.1.3,987,6,19/11/2024 11:23:54 PM
192.168.1.13-192.168.1.3-56030-981-6,192.168.1.13,56030,192.168.1.3,981,6,19/11/2024 11:23:53 PM
192.168.1.13-192.168.1.3-50828-10000-6,192.168.1.13,50828,192.168.1.3,10000,6,19/11/2024 11:23:53 PM
192.168.1.13-192.168.1.3-46628-1063-6,192.168.1.13,46628,192.168.1.3,1063,6,19/11/2024 11:23:53 PM
192.168.1.13-192.168.1.3-49552-9595-6,192.168.1.13,49552,192.168.1.3,9595,6,19/11/2024 11:23:54 PM
192.168.1.13-192.168.1.3-36156-563-6,192.168.1.13,36156,192.168.1.3,563,6,19/11/2024 11:23:53 PM
192.168.1.13-192.168.1.3-42044-3826-6,192.168.1.13,42044,192.168.1.3,3826,6,19/11/2024 11:23:52 PM
192.168.1.13-192.168.1.3-44782-15000-6,192.168.1.13,44782,192.168.1.3,15000,6,19/11/2024 11:23:53 PM
192.168.1.13-192.168.1.3-43512-1165-6,192.168.1.13,43512,192.168.1.3,1165,6,19/11/2024 11:23:53 PM
192.168.1.13-192.168.1.3-46176-9080-6,192.168.1.13,46176,192.168.1.3,9080,6,19/11/2024 11:23:53 PM
192.168.1.13-192.168.1.3-41678-898-6,192.168.1.13,41678,192.168.1.3,898,6,19/11/2024 11:23:53 PM
192.168.1.13-192.168.1.3-55488-9100-6,192.168.1.13,55488,192.168.1.3,9100,6,19/11/2024 11:23:53 PM
192.168.1.13-192.168.1.3-52252-787-6,192.168.1.13,52252,192.168.1.3,787,6,19/11/2024 11:23:53 PM
192.168.1.13-192.168.1.3-40980-8099-6,192.168.1.13,40980,192.168.1.3,8099,6,19/11/2024 11:23:53 PM
192.168.1.13-192.168.1.3-53300-8899-6,192.168.1.13,53300,192.168.1.3,8899,6,19/11/2024 11:23:54 PM
192.168.1.13-192.168.1.3-43754-497-6,192.168.1.13,43754,192.168.1.3,497,6,19/11/2024 11:23:54 PM
192.168.1.13-192.168.1.3-36810-50002-6,192.168.1.13,36810,192.168.1.3,50002,6,19/11/2024 11:23:53 PM
192.168.1.13-192.168.1.3-51070-5405-6,192.168.1.13,51070,192.168.1.3,5405,6,19/11/2024 11:23:54 PM
192.168.1.13-192.168.1.3-33364-1021-6,192.168.1.13,33364,192.168.1.3,1021,6,19/11/2024 11:23:54 PM
192.168.1.13-192.168.1.3-58362-8873-6,192.168.1.13,58362,192.168.1.3,8873,6,19/11/2024 11:23:54 PM
192.168.1.13-192.168.1.3-37048-4998-6,192.168.1.13,37048,192.168.1.3,4998,6,19/11/2024 11:23:53 PM
192.168.1.13-192.168.1.3-33740-5357-6,192.168.1.13,33740,192.168.1.3,5357,6,19/11/2024 11:23:53 PM
192.168.1.13-192.168.1.3-39462-30951-6,192.168.1.13,39462,192.168.1.3,30951,6,19/11/2024 11:23:52 PM
192.168.1.13-192.168.1.3-40930-2033-6,192.168.1.13,40930,192.168.1.3,2033,6,19/11/2024 11:23:53 PM
192.168.1.13-192.168.1.3-39312-3221-6,192.168.1.13,39312,192.168.1.3,3221,6,19/11/2024 11:23:52 PM
192.168.1.13-192.168.1.3-57492-31038-6,192.168.1.13,57492,192.168.1.3,31038,6,19/11/2024 11:23:53 PM
192.168.1.13-192.168.1.3-57234-903-6,192.168.1.13,57234,192.168.1.3,903,6,19/11/2024 11:23:53 PM
