Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp
192.168.1.13-192.168.1.3-42832-1718-6,192.168.1.13,42832,192.168.1.3,1718,6,21/11/2024 03:42:14 PM
192.168.1.13-192.168.1.3-60012-5910-6,192.168.1.13,60012,192.168.1.3,5910,6,21/11/2024 03:42:14 PM
192.168.1.13-192.168.1.3-41322-6502-6,192.168.1.13,41322,192.168.1.3,6502,6,21/11/2024 03:42:13 PM
192.168.1.13-192.168.1.3-46520-3986-6,192.168.1.13,46520,192.168.1.3,3986,6,21/11/2024 03:42:15 PM
192.168.1.13-192.168.1.3-38674-32782-6,192.168.1.13,38674,192.168.1.3,32782,6,21/11/2024 03:42:16 PM
192.168.1.13-192.168.1.3-57534-2260-6,192.168.1.13,57534,192.168.1.3,2260,6,21/11/2024 03:42:16 PM
192.168.1.13-192.168.1.3-33104-2605-6,192.168.1.13,33104,192.168.1.3,2605,6,21/11/2024 03:42:15 PM
192.168.1.13-192.168.1.3-43660-65389-6,192.168.1.13,43660,192.168.1.3,65389,6,21/11/2024 03:42:16 PM
192.168.1.13-192.168.1.3-49098-2607-6,192.168.1.13,49098,192.168.1.3,2607,6,21/11/2024 03:42:15 PM
192.168.1.13-192.168.1.3-44796-9110-6,192.168.1.13,44796,192.168.1.3,9110,6,21/11/2024 03:42:14 PM
192.168.1.13-192.168.1.3-40778-3527-6,192.168.1.13,40778,192.168.1.3,3527,6,21/11/2024 03:42:16 PM
192.168.1.13-192.168.1.3-45332-1065-6,192.168.1.13,45332,192.168.1.3,1065,6,21/11/2024 03:42:16 PM
192.168.1.13-192.168.1.3-54894-10180-6,192.168.1.13,54894,192.168.1.3,10180,6,21/11/2024 03:42:15 PM
192.168.1.13-192.168.1.3-56396-70-6,192.168.1.13,56396,192.168.1.3,70,6,21/11/2024 03:42:16 PM
192.168.1.13-192.168.1.3-44046-2920-6,192.168.1.13,44046,192.168.1.3,2920,6,21/11/2024 03:42:14 PM
192.168.1.13-192.168.1.3-36766-5510-6,192.168.1.13,36766,192.168.1.3,5510,6,21/11/2024 03:42:13 PM
192.168.1.13-192.168.1.3-55730-3011-6,192.168.1.13,55730,192.168.1.3,3011,6,21/11/2024 03:42:16 PM
192.168.1.13-192.168.1.3-43830-1334-6,192.168.1.13,43830,192.168.1.3,1334,6,21/11/2024 03:42:16 PM
192.168.1.13-192.168.1.3-56738-80-6,192.168.1.13,56738,192.168.1.3,80,6,21/11/2024 03:42:13 PM
192.168.1.13-192.168.1.3-60470-301-6,192.168.1.13,60470,192.168.1.3,301,6,21/11/2024 03:42:14 PM
192.168.1.13-192.168.1.3-45034-10778-6,192.168.1.13,45034,192.168.1.3,10778,6,21/11/2024 03:42:13 PM
192.168.1.13-192.168.1.3-33420-1311-6,192.168.1.13,33420,192.168.1.3,1311,6,21/11/2024 03:42:15 PM
192.168.1.13-192.168.1.3-45524-541-6,192.168.1.13,45524,192.168.1.3,541,6,21/11/2024 03:42:16 PM
192.168.1.13-192.168.1.3-37994-9418-6,192.168.1.13,37994,192.168.1.3,9418,6,21/11/2024 03:42:16 PM
192.168.1.13-192.168.1.3-43962-543-6,192.168.1.13,43962,192.168.1.3,543,6,21/11/2024 03:42:15 PM
192.168.1.13-192.168.1.3-33100-1029-6,192.168.1.13,33100,192.168.1.3,1029,6,21/11/2024 03:42:15 PM
192.168.1.13-192.168.1.3-36240-9040-6,192.168.1.13,36240,192.168.1.3,9040,6,21/11/2024 03:42:16 PM
192.168.1.13-192.168.1.3-45132-2013-6,192.168.1.13,45132,192.168.1.3,2013,6,21/11/2024 03:42:14 PM
192.168.1.13-192.168.1.3-60744-4443-6,192.168.1.13,60744,192.168.1.3,4443,6,21/11/2024 03:42:15 PM
