Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Packet Length Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Count,RST Flag Count,PSH Flag Cnt,ACK Flag Count,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Average Packet Size,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.1.13-192.168.1.3-44260-777-6,192.168.1.13,44260,192.168.1.3,777,6,19/11/2024 11:23:53 PM,8,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250000.0,8.0,0.0,8.0,8.0,8.0,8.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,80,0,250000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,32120,0,0,40,0,0,0,0,0.0,0.0,0.0,0.0,No Label
192.168.1.13-192.168.1.3-38762-1688-6,192.168.1.13,38762,192.168.1.3,1688,6,19/11/2024 11:23:54 PM,11,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181818.18181818185,11.0,0.0,11.0,11.0,11.0,11.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,80,0,181818.18181818185,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,32120,0,0,40,0,0,0,0,0.0,0.0,0.0,0.0,No Label
192.168.1.13-192.168.1.3-60094-4662-6,192.168.1.13,60094,192.168.1.3,4662,6,19/11/2024 11:23:54 PM,5,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400000.0,5.0,0.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,80,0,400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,32120,0,0,40,0,0,0,0,0.0,0.0,0.0,0.0,No Label
192.168.1.13-192.168.1.3-37962-57797-6,192.168.1.13,37962,192.168.1.3,57797,6,19/11/2024 11:23:53 PM,12,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166666.66666666666,12.0,0.0,12.0,12.0,12.0,12.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,80,0,166666.66666666666,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,32120,0,0,40,0,0,0,0,0.0,0.0,0.0,0.0,No Label
192.168.1.13-192.168.1.3-44786-10024-6,192.168.1.13,44786,192.168.1.3,10024,6,19/11/2024 11:23:54 PM,6,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333333.3333333333,6.0,0.0,6.0,6.0,6.0,6.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,80,0,333333.3333333333,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,32120,0,0,40,0,0,0,0,0.0,0.0,0.0,0.0,No Label
192.168.1.13-192.168.1.3-36518-17988-6,192.168.1.13,36518,192.168.1.3,17988,6,19/11/2024 11:23:53 PM,15,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133333.33333333334,15.0,0.0,15.0,15.0,15.0,15.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,80,0,133333.33333333334,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,32120,0,0,40,0,0,0,0,0.0,0.0,0.0,0.0,No Label
192.168.1.13-192.168.1.3-36072-8011-6,192.168.1.13,36072,192.168.1.3,8011,6,19/11/2024 11:23:55 PM,5,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400000.0,5.0,0.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,80,0,400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,32120,0,0,40,0,0,0,0,0.0,0.0,0.0,0.0,No Label
192.168.1.13-192.168.1.3-42696-90-6,192.168.1.13,42696,192.168.1.3,90,6,19/11/2024 11:23:53 PM,12,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166666.66666666666,12.0,0.0,12.0,12.0,12.0,12.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,80,0,166666.66666666666,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,32120,0,0,40,0,0,0,0,0.0,0.0,0.0,0.0,No Label
192.168.1.13-192.168.1.3-43098-7100-6,192.168.1.13,43098,192.168.1.3,7100,6,19/11/2024 11:23:52 PM,7,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285714.28571428574,7.0,0.0,7.0,7.0,7.0,7.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,80,0,285714.28571428574,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,32120,0,0,40,0,0,0,0,0.0,0.0,0.0,0.0,No Label
192.168.1.13-192.168.1.3-41510-8193-6,192.168.1.13,41510,192.168.1.3,8193,6,19/11/2024 11:23:53 PM,5,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400000.0,5.0,0.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,80,0,400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,32120,0,0,40,0,0,0,0,0.0,0.0,0.0,0.0,No Label
